,report_date,cookie_id,customer_id,ga_session_id,event_timestamp,visit_factory,event_timestamp_click,factory_product_click,product_id
68,2023-12-06,1707831611.1701901190,(not set),1701901190,2023-12-06 14:20:07,Contek Life Science,,,
69,2023-12-06,1782041869.1695363352,(not set),1701850883,2023-12-06 00:21:24,Huizhou Comvikin Biotechnology,,,
70,2023-12-06,1845924595.1700268249,(not set),1701903176,2023-12-06 14:52:56,Sungen Bioscience,,,
71,2023-12-06,1869472055.1701892206,13012,1701902045,2023-12-06 14:35:59,Euroasia's Ingredients,2023-12-06 14:36:44,Ginger Root Powder by Euroasias Ingredients, 109076-EUROING-12639
72,2023-12-06,1883412368.1701274322,(not set),1701888115,2023-12-06 10:41:54,Liaoning Taiaipeptide Bioengineering Technology,,,
73,2023-12-06,1883412368.1701274322,(not set),1701897986,2023-12-06 13:26:26,Hebei Taifeng Bio-technology,,,
74,2023-12-06,1899878158.1698641294,(not set),1701920644,2023-12-06 20:42:47,Abbott Blackstone,,,
75,2023-12-06,1899878158.1698641294,(not set),1701920644,2023-12-06 20:47:42,Algarrobos Organicos (Peru),,,
76,2023-12-06,1899878158.1698641294,(not set),1701920644,2023-12-06 20:49:33,Dinh Phu My Coconut,,,
77,2023-12-06,1977091269.1694723517,19615,1701871278,2023-12-06 07:11:05,Ningxia Qiyuan Pharmaceutical,,,
78,2023-12-06,1977091269.1694723517,19615,1701871278,2023-12-06 08:11:13,Ningxia Qiyuan Pharmaceutical,,,
79,2023-12-06,1979293806.1701921476,(not set),1701921476,2023-12-06 20:00:17,Achlis Laboratories,,,
80,2023-12-06,198764363.1699650731,5551,1701891160,2023-12-06 12:04:38,Daesang,,,
81,2023-12-06,203347044.1689951439,21587,1701879114,2023-12-06 08:11:54,Zymogreen Global,,,
82,2023-12-06,203347044.1689951439,21587,1701890473,2023-12-06 11:21:13,Zymogreen Global,,,
83,2023-12-06,2057243436.1696271435,1516,1701895465,2023-12-06 12:47:06,CoCrystal Technology,2023-12-06 12:47:14,Crystal HT® Hydroxytyrosol by CoCrystal Technology, 109931-COCRYSTAL-66864
84,2023-12-06,244423632.1701245795,14499,1701901610,2023-12-06 14:35:09,Qimei Industrial Group,2023-12-06 14:39:55,Allulose by Qimei, 108838-QIMEI-11712
